A0A9D3WUP2_9SAUR/113-828	BJAM.scaffold4449.15689	69.4	705	169	1	2	706	114	771	2.4e-294	1007.7
A0A507EE19_9FUNG/1-536	BJAM.scaffold4449.15689	42.8	537	242	7	3	527	289	772	5.6e-115	411.4
W5NJD1_LEPOC/113-828	BJAM.scaffold4449.15689	69.0	706	172	1	1	706	113	771	4.5e-293	1003.4
A0A7X1P3K1_9PROT/105-818	BJAM.scaffold4449.15689	46.9	700	313	4	1	693	113	760	5.3e-185	644.4
A0A820J9L0_9BILA/236-314	BJAM.scaffold4449.15689	64.5	76	27	0	4	79	259	334	2.0e-24	107.8
A0A811Y3D3_NYCPR/113-824	BJAM.scaffold4449.15689	70.5	705	161	1	2	706	114	771	1.9e-296	1014.6
L0NHW4_9HYPH/108-820	BJAM.scaffold4449.15689	45.1	712	331	3	1	704	113	772	1.1e-179	626.7
A0A4R2BC59_9BACI/93-794	BJAM.scaffold4449.15689	44.0	713	326	10	1	693	113	772	3.0e-172	602.1
A0A1T4VHF0_9FIRM/102-818	BJAM.scaffold4449.15689	45.9	717	318	7	3	708	115	772	7.4e-179	624.0
A0A348AHW9_9FIRM/92-788	BJAM.scaffold4449.15689	45.9	711	309	11	1	687	113	771	2.0e-173	605.9
A0A927KPR4_9HYPH/108-820	BJAM.scaffold4449.15689	44.9	712	332	3	1	704	113	772	1.5e-176	616.3
A0A2K5QJV5_CEBIM/113-828	BJAM.scaffold4449.15689	65.6	707	196	1	1	707	113	772	8.5e-276	946.0
H6C1T2_EXODN/163-877	BJAM.scaffold4449.15689	48.6	718	297	11	1	705	113	771	2.5e-182	635.6
A0A6J2LZI8_9CHIR/113-828	BJAM.scaffold4449.15689	69.1	706	171	1	1	706	113	771	7.7e-293	1002.7
A0A3M8QUM6_9PROT/109-822	BJAM.scaffold4449.15689	47.9	712	310	6	1	704	113	771	6.9e-193	670.6
A0A1B7UIP9_9GAMM/106-821	BJAM.scaffold4449.15689	45.9	714	325	6	1	707	113	772	1.1e-185	646.7
A0A8C4HS23_DICLA/514-1229	BJAM.scaffold4449.15689	68.1	705	178	1	2	706	114	771	1.0e-289	992.3
A0A4Z0D9B2_9FIRM/227-400	BJAM.scaffold4449.15689	28.4	169	108	3	4	159	275	443	1.4e-11	66.2
A0A5C2SCS5_9APHY/149-864	BJAM.scaffold4449.15689	45.3	716	323	9	3	707	115	772	2.5e-171	599.0
A0A6J0XWR8_ODOVR/113-828	BJAM.scaffold4449.15689	66.8	707	188	1	1	707	113	772	4.2e-283	970.3
A0A5A9PL89_9TELE/592-768	BJAM.scaffold4449.15689	65.1	166	58	0	2	167	606	771	6.5e-60	226.9
A0A2K5UD22_MACFA/113-828	BJAM.scaffold4449.15689	66.9	707	187	1	1	707	113	772	2.2e-284	974.5
C4Z1A6_LACE2/99-817	BJAM.scaffold4449.15689	46.2	725	320	8	1	715	113	777	1.9e-182	636.0
A0A7J9EPN2_9ROSI/403-510	BJAM.scaffold4449.15689	56.4	101	44	0	4	104	334	434	6.2e-29	123.2
A0A942YQA1_9BACI/94-805	BJAM.scaffold4449.15689	45.9	714	321	8	1	703	113	772	6.7e-172	600.9
A0A8C9DJQ9_PROSS/79-794	BJAM.scaffold4449.15689	67.1	705	185	1	3	707	115	772	4.2e-283	970.3
A0A6J5ETN4_9BURK/110-822	BJAM.scaffold4449.15689	46.9	712	318	3	1	704	113	772	4.2e-190	661.4
A0A8C8IGP2_ONCTS/113-829	BJAM.scaffold4449.15689	68.2	707	177	2	1	707	113	771	3.6e-290	993.8
A0A674E912_SALTR/38-753	BJAM.scaffold4449.15689	68.2	705	177	1	2	706	114	771	2.3e-289	991.1
A0A819TFH1_9BILA/1-95	BJAM.scaffold4449.15689	61.3	75	29	0	1	75	242	316	2.9e-22	100.9
A0A851D4C9_TODME/113-590	BJAM.scaffold4449.15689	70.3	478	95	1	1	478	113	543	1.9e-199	691.8
A0A0L0T633_ALLM3/42-671	BJAM.scaffold4449.15689	49.7	620	248	5	1	612	113	676	3.4e-167	585.1
A0A7J9KAB7_9ROSI/168-511	BJAM.scaffold4449.15689	48.7	316	142	5	1	309	113	415	1.1e-84	310.1
A0A8J6F9U7_ELECQ/113-828	BJAM.scaffold4449.15689	68.7	712	176	1	1	712	113	777	4.3e-296	1013.4
A0A8J9ZTR2_BRALA/114-830	BJAM.scaffold4449.15689	66.9	708	186	2	1	708	113	772	4.8e-287	983.4
A0A670YPL4_PSETE/113-828	BJAM.scaffold4449.15689	69.5	706	168	1	1	706	113	771	1.9e-296	1014.6
K7N100_SOYBN/532-964	BJAM.scaffold4449.15689	37.4	404	196	4	22	423	423	771	5.3e-71	265.0
A0A8C3AGM9_CYCLU/113-822	BJAM.scaffold4449.15689	67.7	712	177	3	1	706	113	777	7.4e-280	959.5
A0A139NQI4_9STRE/77-752	BJAM.scaffold4449.15689	34.6	713	369	13	5	672	117	777	6.5e-108	388.3
A0A183EBS2_9BILA/56-166	BJAM.scaffold4449.15689	80.2	101	20	0	1	101	114	214	4.0e-47	183.7
T2GDK2_MEGG1/89-812	BJAM.scaffold4449.15689	47.6	708	300	5	4	703	116	760	2.2e-186	649.0
A0A0A3ATX2_9PAST/102-806	BJAM.scaffold4449.15689	47.4	707	314	3	1	696	113	772	7.0e-190	660.6
J6H882_9FIRM/93-795	BJAM.scaffold4449.15689	38.9	697	362	7	1	682	113	760	6.9e-137	484.6
A0A6I8P2T7_ORNAN/113-803	BJAM.scaffold4449.15689	69.4	680	161	1	1	680	113	745	5.0e-289	989.9
A0A2I0N2K4_9CLOT/94-804	BJAM.scaffold4449.15689	42.1	718	342	9	1	702	113	772	1.1e-153	540.4
A0A176W024_MARPO/591-829	BJAM.scaffold4449.15689	42.3	234	83	3	3	235	440	622	1.8e-44	176.0
A0A672RTT0_SINGR/113-597	BJAM.scaffold4449.15689	69.4	470	105	1	1	470	113	543	6.5e-195	676.8
A0A1I0Y0E5_9CELL/103-816	BJAM.scaffold4449.15689	45.2	715	327	6	1	705	113	772	3.0e-180	628.6
Q01B38_OSTTA/269-980	BJAM.scaffold4449.15689	47.0	717	309	8	1	703	113	772	1.1e-182	636.7
A0A671KS75_9TELE/113-822	BJAM.scaffold4449.15689	67.6	706	176	3	1	700	113	771	2.4e-278	954.5
B1WXZ2_CROS5/117-829	BJAM.scaffold4449.15689	49.5	709	298	3	3	703	115	771	8.9e-201	696.8
A0A0D3DBJ0_BRAOL/514-948	BJAM.scaffold4449.15689	39.8	392	172	5	40	425	438	771	3.5e-75	278.9
A0A8C2TJG7_COTJA/113-815	BJAM.scaffold4449.15689	67.8	707	168	3	1	694	113	772	3.5e-282	967.2
A0A6H0Y177_9PEZI/161-875	BJAM.scaffold4449.15689	47.4	707	300	12	1	694	113	760	1.2e-176	616.7
A0A256BHT4_9CYAN/111-823	BJAM.scaffold4449.15689	48.9	708	302	5	5	704	117	772	1.2e-200	696.4
D5CSU9_SIDLE/113-826	BJAM.scaffold4449.15689	49.4	710	298	5	4	705	116	772	9.9e-200	693.3
A0A7J6B601_AMEME/113-826	BJAM.scaffold4449.15689	67.7	712	181	2	1	710	113	777	3.9e-281	963.8
A0A2R9A768_PANPA/113-828	BJAM.scaffold4449.15689	70.1	705	164	1	2	706	114	771	3.7e-295	1010.4
A0A8C3CPN8_CAIMO/116-814	BJAM.scaffold4449.15689	67.5	679	174	1	12	690	141	772	5.9e-274	939.9
A0A3A9FI75_UNCXX/94-706	BJAM.scaffold4449.15689	38.6	632	295	14	5	592	117	699	1.6e-105	380.2
A0A4Y9ZW34_9AGAM/3-375	BJAM.scaffold4449.15689	40.8	365	144	5	5	369	341	633	6.8e-67	251.1
A0A7F5RD41_AGRPL/22-737	BJAM.scaffold4449.15689	72.5	706	147	1	1	706	113	771	2.2e-308	1054.3
A0A1V2YFI3_9FIRM/80-773	BJAM.scaffold4449.15689	41.2	702	330	9	1	673	113	760	4.4e-144	508.4
A0A022RYZ9_ERYGU/121-840	BJAM.scaffold4449.15689	45.1	716	330	10	1	710	113	771	1.7e-170	596.3
A0A1S2Y6P1_CICAR/117-835	BJAM.scaffold4449.15689	43.6	716	340	8	1	709	113	771	5.7e-163	571.2
B0S094_FINM2/89-786	BJAM.scaffold4449.15689	41.5	713	340	9	1	689	113	772	2.3e-148	522.7
A0A1I2XGV0_9RHOB/96-791	BJAM.scaffold4449.15689	43.1	703	333	5	5	687	117	772	2.8e-154	542.3
A0A8J4WJK5_9TREM/5-233	BJAM.scaffold4449.15689	56.6	219	46	1	9	227	469	638	2.5e-64	241.9
A0A9C7GB78_9BACI/93-794	BJAM.scaffold4449.15689	43.7	711	327	9	3	693	115	772	9.2e-174	607.1
J5PAF7_SACK1/165-898	BJAM.scaffold4449.15689	48.1	725	287	15	1	713	113	760	9.0e-180	627.1
